pp,p_beta,p,p_corrected
1.95628158243638E-08,0.0017218428186195,0.233930932202612,0.559282385684171
0.999999998514577,0.999730747270282,0.636788892180113,0.816026806557752
2.14560655041785E-20,1.19023135652667E-05,4.81098650435856E-07,1.6597903440037E-05
3.56422722735539E-15,1.34236366035966E-06,0.0371506757942092,0.155357371503057
1.88911570018752E-17,2.82068757583584E-07,0.0163258861740005,0.0979553170440028
9.87869257501128E-17,7.39521362576023E-07,0.0520223703573112,0.194029381332674
0.966294677837657,0.997026252098981,0.362764507043657,0.676506783405738
6.21479207824763E-18,3.04554402374608E-05,3.34209297963986E-08,4.612088311903E-06
5.75663064168523E-16,8.98632241176832E-08,0.00679918298882499,0.0551933677916382
1.16905329017617E-16,2.85904664275956E-08,0.026729598694628,0.127514675910269
1.2323579136042E-11,4.50481797008919E-07,0.0953697498376179,0.306070359943983
0.999998893649,0.999984474396693,0.484848071519319,0.733353648047294
2.008986460309E-13,5.86444594476722E-05,0.147318267156373,0.408568609218161
0.999999999999711,0.999999859750827,0.849974450251165,0.907721051823551
4.17906793326158E-12,2.776622434775E-06,0.0610518371737395,0.214719948871284
2.74453758939773E-19,1.64935362504172E-06,3.94960536874532E-05,0.000908409234811423
1.51671152091386E-11,0.00363600032484858,0.0835129181470238,0.274399588197364
0.999999999999974,0.999989553691801,0.865255077591931,0.911490081738064
9.22349691162902E-08,0.129656298513657,0.241278701214523,0.561632928958794
0.999999999704561,0.999601007713885,0.510785199749445,0.734253724639827
1.93964105409888E-19,3.26788901340218E-06,0.0010679954703572,0.0158306660588133
1.12797668781096E-10,0.00450814330384566,0.135519889210734,0.406032197570731
0.999999999962751,0.999950077424546,0.633196970061558,0.816026806557752
5.02214711755382E-18,1.96490261513825E-06,0.00114714971440676,0.0158306660588133
9.51675865532809E-16,2.11813151164943E-08,0.0192844164326674,0.108599544125031
6.94163753928011E-07,0.759315133610547,0.271268012049207,0.594206121631595
0.999999999996726,0.999848608937994,0.811637481122187,0.907721051823551
0.999999999989125,0.999957007312588,0.843868772732342,0.907721051823551
0.999999998811884,0.999961038366884,0.60014061892614,0.796340436651993
1.6562751092116E-17,3.89939024432447E-06,0.00191455191615306,0.0240189240390112
0.999999999999629,0.999969036378015,0.826125817628067,0.907721051823551
