met_names,R2,slope_Lnpval,ciL_slope_Lnpval,ciU_slope_Lnpval,intercept_Lnpval,ciL_intercept_Lnpval,ciU_intercept_Lnpval,pv-b,pvalb_beta,pvMaxSize,pvMaxSize_corrected
M37,0.618719501821151,-0.14584354318318105,-0.22651220485764567,-0.06517488150871642,-0.8932682161988887,-0.9265694929970264,-0.8599669394007511,0.0012029917151664307,0.999941949634,0.2840590600097204,0.6706352662895824
M38,0.9920724039441188,-1.1402296791067545,-1.212047738270326,-1.068411619943183,-0.9996824295510924,-1.0293300401308052,-0.9700348189713797,3.865606692699901e-12,1.0831509223733717e-08,0.12159232882593253,0.6311275958279913
M39,0.9884013792159932,0.3982698757053307,0.3678710915741596,0.42866865983650176,-0.9956711009444502,-1.0082201913057622,-0.9831220105831382,0.9999999999740455,0.9999943172360505,0.5557377310825439,0.7943868407202881
M40,0.9982548040401611,0.7138933957889035,0.6928615683021097,0.7349252232756974,-1.017803997320298,-1.0264862624548652,-1.0091217321857306,0.999999999999998,0.9999796026692136,0.7862393980532671,0.9087902947583163
M41,0.9744061062755952,0.8218452656651433,0.7279960836114816,0.9156944477188049,-1.148629713631248,-1.1873721140129454,-1.1098873132495506,0.999999998634046,0.9635256935685401,0.8066628350050203,0.9087902947583163
M42,0.7643039384012341,-0.17808110596516058,-0.24776031461747516,-0.10840189731284598,-0.9799834992223717,-1.0087481590821055,-0.951218839362638,9.990420632974429e-05,0.9999818429582935,0.26176271916910876,0.6706352662895824
M43,0.9905645595686362,0.7819910642043789,0.7282156532960928,0.835766475112665,-1.0470107667378827,-1.0692100918093348,-1.0248114416664307,0.9999999999907616,0.9996126040097371,0.997545200042549,0.997545200042549
M44,0.9680840474287329,0.3819251078360124,0.3330634908480479,0.4307867248239769,-1.0166838883883185,-1.0368547229893326,-0.9965130537873044,0.9999999958698419,0.9999463514338823,0.48216321780112836,0.7537264094362467
M45,0.9975169746975956,-3.2456429706678604,-3.359739759370225,-3.1315461819654957,-1.0305053717969117,-1.0776062987676491,-0.9834044448261744,1.1625887548155885e-14,1.3260256100968021e-08,0.01632999015445256,0.21632337796222398
M46,0.19485796257828925,0.04121869448266824,-0.01781686130529927,0.10025425027063575,-0.9286720686511564,-0.9530428632499383,-0.9043012740523745,0.9245820342269442,0.9999875164347451,0.3323001875247127,0.677290359993952
M47,0.95290185374517,0.458657866007002,0.38681081969659853,0.5305049123174055,-1.0058336843779836,-1.0354932613022494,-0.9761741074537177,0.9999999709067776,0.999826614656548,0.5122637677278394,0.7690302420569946
M48,0.8792548649276611,0.1941490774593142,0.14345525802625808,0.24484289689237032,-0.9840594112174168,-1.0049866074526481,-0.9631322149821854,0.9999966695369022,0.9999622432477402,0.4108379725894734,0.7187351108299909
M49,0.995524583380815,0.7079757339594954,0.674529181074909,0.7414222868440818,-1.022759789532167,-1.0365670461846688,-1.0089525328796651,0.9999999999997787,0.9999567996794478,0.7665099611720457,0.9087902947583163
M50,0.4058426249441053,0.05530750906677939,0.008155710016189366,0.10245930811736942,-0.9247240309206198,-0.9441890261135537,-0.905259035727686,0.9870583180763483,0.9999896780325075,0.3241380026861582,0.677290359993952
M51,0.9209152288095118,-0.41339747800656634,-0.49875595903584924,-0.32803899697728345,-0.8974205928814805,-0.9326578999697737,-0.8621832857931873,3.938782851566112e-07,0.9999790543091522,0.2176406134227081,0.6706352662895824
M52,0.9843521918277057,-0.9820015452039844,-1.069239589906823,-0.894763500501146,-0.8714384989315934,-0.9074517191050123,-0.8354252787581745,1.1619545878592087e-10,0.003023310618131269,0.1355945915389437,0.6586023017605838
M53,0.8587126899779323,-0.31775778990054204,-0.40857456907086,-0.2269410107302241,-0.9121655927215704,-0.9496561700819661,-0.8746750153611746,7.376818144643508e-06,0.9997534263589996,0.23153440247911003,0.6706352662895824
M55,0.82429174619734,0.14736414763826333,0.09942506780518273,0.19530322747134393,-1.0054804993766846,-1.025270496307733,-0.9856905024456362,0.9999776877427339,0.9997086808782891,0.40196246499014987,0.7187351108299909
M56,0.9984949235196274,0.8151372867910651,0.7928385960199248,0.8374359775622054,-1.0594630638778015,-1.0686683098579872,-1.0502578178976159,0.9999999999999991,0.9999983676041829,0.837713601958129,0.9087902947583163
M57,0.8797158437396727,-0.4333631523166006,-0.5462718087171314,-0.3204544959160697,-0.9815662660872875,-1.028176713585143,-0.934955818589432,3.266670558457417e-06,0.9999986921226101,0.19241476127401205,0.6706352662895824
M58,0.7987318077345509,0.31365711651594863,0.20271805689350497,0.4245961761383923,-1.0563325240445458,-1.1021298913929811,-1.0105351566961105,0.9999554348154713,0.28260828897508095,0.586627381799332,0.7943868407202881
M59,0.9434447128244551,0.2604979707058983,0.21555880821302437,0.30543713319877225,-0.9677654508093521,-0.9863170352559972,-0.9492138663627069,0.9999999270658413,0.9999911141436132,0.4383421039940989,0.7201452164053405
